site,site_name,location,climate
Panther,Univ. of Central Florida,Orlando,2A
Fox,Arizona State Univ.,Tempe,2B
Rat,Washington DC - City Buildings,D.C.,4A
Bear,Univ. of California - Berkeley,Berkeley,3C
Bull,Univ. of Texas - Austin,Austin,2A
Peacock,Princeton University,Princeton,5A
Cockatoo,Cornell University,Cornell,6A
Robin,Univ. College London,London,4A
Wolf,Univ. College Dublin,Dublin,5A
Lamb,Cardiff - City Buildings,Cardiff,4A
Moose,Ottawa - City Buildings,Ottawa,6A
Mouse,Ormand Street Hospital,London,4A